datetime,demand,hour,day_of_week
2024-12-09 00:00:00,28,0,0
2024-12-09 01:00:00,34,1,0
2024-12-09 02:00:00,23,2,0
2024-12-09 03:00:00,32,3,0
2024-12-09 04:00:00,36,4,0
2024-12-09 05:00:00,24,5,0
2024-12-09 06:00:00,27,6,0
2024-12-09 07:00:00,78,7,0
2024-12-09 08:00:00,83,8,0
2024-12-09 09:00:00,26,9,0
2024-12-09 10:00:00,29,10,0
2024-12-09 11:00:00,25,11,0
2024-12-09 12:00:00,31,12,0
2024-12-09 13:00:00,32,13,0
2024-12-09 14:00:00,27,14,0
2024-12-09 15:00:00,33,15,0
2024-12-09 16:00:00,22,16,0
2024-12-09 17:00:00,73,17,0
2024-12-09 18:00:00,75,18,0
2024-12-09 19:00:00,31,19,0
2024-12-09 20:00:00,21,20,0
2024-12-09 21:00:00,17,21,0
2024-12-09 22:00:00,28,22,0
2024-12-09 23:00:00,36,23,0
2024-12-10 00:00:00,26,0,1
2024-12-10 01:00:00,23,1,1
2024-12-10 02:00:00,35,2,1
2024-12-10 03:00:00,33,3,1
2024-12-10 04:00:00,35,4,1
2024-12-10 05:00:00,28,5,1
2024-12-10 06:00:00,37,6,1
2024-12-10 07:00:00,75,7,1
2024-12-10 08:00:00,75,8,1
2024-12-10 09:00:00,34,9,1
2024-12-10 10:00:00,38,10,1
2024-12-10 11:00:00,22,11,1
2024-12-10 12:00:00,34,12,1
2024-12-10 13:00:00,35,13,1
2024-12-10 14:00:00,30,14,1
2024-12-10 15:00:00,27,15,1
2024-12-10 16:00:00,39,16,1
2024-12-10 17:00:00,78,17,1
2024-12-10 18:00:00,72,18,1
2024-12-10 19:00:00,26,19,1
2024-12-10 20:00:00,40,20,1
2024-12-10 21:00:00,32,21,1
2024-12-10 22:00:00,35,22,1
2024-12-10 23:00:00,38,23,1
2024-12-11 00:00:00,27,0,2
2024-12-11 01:00:00,25,1,2
2024-12-11 02:00:00,29,2,2
2024-12-11 03:00:00,22,3,2
2024-12-11 04:00:00,41,4,2
2024-12-11 05:00:00,30,5,2
2024-12-11 06:00:00,28,6,2
2024-12-11 07:00:00,104,7,2
2024-12-11 08:00:00,80,8,2
2024-12-11 09:00:00,26,9,2
2024-12-11 10:00:00,32,10,2
2024-12-11 11:00:00,18,11,2
2024-12-11 12:00:00,39,12,2
2024-12-11 13:00:00,23,13,2
2024-12-11 14:00:00,33,14,2
2024-12-11 15:00:00,25,15,2
2024-12-11 16:00:00,28,16,2
2024-12-11 17:00:00,83,17,2
2024-12-11 18:00:00,66,18,2
2024-12-11 19:00:00,27,19,2
2024-12-11 20:00:00,33,20,2
2024-12-11 21:00:00,30,21,2
2024-12-11 22:00:00,32,22,2
2024-12-11 23:00:00,33,23,2
2024-12-12 00:00:00,41,0,3
2024-12-12 01:00:00,27,1,3
2024-12-12 02:00:00,26,2,3
2024-12-12 03:00:00,36,3,3
2024-12-12 04:00:00,30,4,3
2024-12-12 05:00:00,38,5,3
2024-12-12 06:00:00,27,6,3
2024-12-12 07:00:00,93,7,3
2024-12-12 08:00:00,84,8,3
2024-12-12 09:00:00,24,9,3
2024-12-12 10:00:00,32,10,3
2024-12-12 11:00:00,22,11,3
2024-12-12 12:00:00,31,12,3
2024-12-12 13:00:00,32,13,3
2024-12-12 14:00:00,34,14,3
2024-12-12 15:00:00,27,15,3
2024-12-12 16:00:00,32,16,3
2024-12-12 17:00:00,84,17,3
2024-12-12 18:00:00,66,18,3
2024-12-12 19:00:00,26,19,3
2024-12-12 20:00:00,38,20,3
2024-12-12 21:00:00,35,21,3
2024-12-12 22:00:00,31,22,3
2024-12-12 23:00:00,24,23,3
2024-12-13 00:00:00,26,0,4
2024-12-13 01:00:00,32,1,4
2024-12-13 02:00:00,39,2,4
2024-12-13 03:00:00,29,3,4
2024-12-13 04:00:00,26,4,4
2024-12-13 05:00:00,37,5,4
2024-12-13 06:00:00,24,6,4
2024-12-13 07:00:00,97,7,4
2024-12-13 08:00:00,82,8,4
2024-12-13 09:00:00,23,9,4
2024-12-13 10:00:00,37,10,4
2024-12-13 11:00:00,33,11,4
2024-12-13 12:00:00,28,12,4
2024-12-13 13:00:00,30,13,4
2024-12-13 14:00:00,35,14,4
2024-12-13 15:00:00,33,15,4
2024-12-13 16:00:00,38,16,4
2024-12-13 17:00:00,77,17,4
2024-12-13 18:00:00,82,18,4
2024-12-13 19:00:00,29,19,4
2024-12-13 20:00:00,26,20,4
2024-12-13 21:00:00,13,21,4
2024-12-13 22:00:00,36,22,4
2024-12-13 23:00:00,23,23,4
2024-12-14 00:00:00,77,0,5
2024-12-14 01:00:00,73,1,5
2024-12-14 02:00:00,26,2,5
2024-12-14 03:00:00,41,3,5
2024-12-14 04:00:00,40,4,5
2024-12-14 05:00:00,46,5,5
2024-12-14 06:00:00,39,6,5
2024-12-14 07:00:00,47,7,5
2024-12-14 08:00:00,38,8,5
2024-12-14 09:00:00,33,9,5
2024-12-14 10:00:00,41,10,5
2024-12-14 11:00:00,43,11,5
2024-12-14 12:00:00,41,12,5
2024-12-14 13:00:00,38,13,5
2024-12-14 14:00:00,37,14,5
2024-12-14 15:00:00,25,15,5
2024-12-14 16:00:00,48,16,5
2024-12-14 17:00:00,39,17,5
2024-12-14 18:00:00,40,18,5
2024-12-14 19:00:00,33,19,5
2024-12-14 20:00:00,67,20,5
2024-12-14 21:00:00,73,21,5
2024-12-14 22:00:00,67,22,5
2024-12-14 23:00:00,70,23,5
2024-12-15 00:00:00,74,0,6
